,index,Netflix,Hulu,Prime Video,Disney+,title,budget,company,country,director,genre,rating,score,star,votes,writer,original_language,popularity,revenue,runtime,release_year,release_month,release_day,class,score_prediction
1745,1744,0.0,0.0,0.0,0.0,Baby's Day Out,50000000.0,Twentieth Century Fox Film Corporation,USA,Other,Adventure,PG,6.0,Other,36899,Other,en,21.3,16671505,99.0,1994,7,1,2,6.6
1746,1745,0.0,0.0,0.0,0.0,Alpha and Omega,20000000.0,Other,USA,Other,Animation,PG,5.3,Other,11760,Other,en,12.3,39300000,89.0,2010,9,17,0,6.1
1747,1746,0.0,0.0,0.0,0.0,Wild Target,8000000.0,Other,UK,Other,Action,PG-13,6.9,Other,32079,Other,en,10.8,3453043,98.0,2010,6,18,0,6.4
1748,1747,0.0,0.0,0.0,0.0,Law Abiding Citizen,50000000.0,Other,USA,Other,Crime,R,7.4,Other,233994,Other,en,49.6,126690726,109.0,2009,10,16,0,6.7
1749,1748,0.0,0.0,0.0,0.0,The Producers,45000000.0,Universal Pictures,USA,Other,Comedy,PG-13,6.4,Other,36805,Other,en,6.8,38058335,134.0,2005,12,25,0,6.1
1750,1749,0.0,0.0,0.0,0.0,Intolerable Cruelty,60000000.0,Universal Pictures,USA,Other,Comedy,PG-13,6.3,George Clooney,81180,Other,en,22.6,119940815,100.0,2003,10,10,0,6.4
1751,1750,0.0,0.0,0.0,0.0,The Twilight Saga: Eclipse,68000000.0,Other,USA,Other,Adventure,PG-13,4.9,Other,198242,Other,en,107.1,698491347,124.0,2010,6,30,0,6.3
1752,1751,0.0,0.0,0.0,0.0,A Nightmare on Elm Street 5: The Dream Child,6000000.0,New Line Cinema,USA,Other,Fantasy,R,5.1,Other,32762,Wes Craven,en,12.7,22168359,89.0,1989,8,11,0,5.8
1753,1752,0.0,0.0,0.0,0.0,Don Juan DeMarco,25000000.0,New Line Cinema,USA,Other,Comedy,PG-13,6.7,Johnny Depp,43627,Other,en,8.9,22200000,97.0,1995,4,7,0,6.4
1754,1753,0.0,0.0,0.0,0.0,You Don't Mess with the Zohan,90000000.0,Columbia Pictures,USA,Other,Action,PG-13,5.5,Adam Sandler,167143,Other,en,40.6,201596308,113.0,2008,6,6,1,6.2
1755,1754,0.0,0.0,0.0,0.0,Murder by Numbers,50000000.0,Warner Bros.,USA,Other,Crime,R,6.1,Other,46434,Other,en,16.2,56714147,117.5,2002,4,19,0,6.1
1756,1755,0.0,0.0,0.0,0.0,No Country for Old Men,25000000.0,Other,USA,Other,Crime,R,8.1,Other,682349,Joel Coen,en,53.6,171600000,122.0,2007,11,21,0,6.6
1757,1756,0.0,0.0,0.0,0.0,Miss Potter,30000000.0,Other,UK,Other,Biography,PG,7.0,Other,25273,Other,en,8.4,35078241,90.0,2007,3,9,0,5.9
1758,1757,0.0,0.0,0.0,0.0,Quarantine,12000000.0,Other,USA,Other,Horror,R,6.0,Other,61381,Other,en,8.1,40855419,89.0,2008,10,10,0,6.1
1759,1758,0.0,0.0,0.0,0.0,The Switch,19000000.0,Other,USA,Other,Comedy,PG-13,6.1,Other,84422,Other,en,27.5,49830607,100.5,2010,8,20,0,6.2
1760,1759,0.0,0.0,0.0,0.0,Vicky Cristina Barcelona,15500000.0,Other,Spain,Woody Allen,Drama,PG-13,7.1,Other,213753,Woody Allen,en,32.8,96408652,96.0,2008,8,15,0,6.2
1761,1760,0.0,0.0,0.0,0.0,Holy Man,60000000.0,Other,USA,Other,Comedy,PG,4.9,Other,17231,Other,en,9.3,0,114.0,1998,10,9,0,6.4
1762,1761,0.0,0.0,0.0,0.0,Warrior,25000000.0,Other,USA,Other,Drama,PG-13,8.2,Other,366496,Other,en,51.9,23057115,140.0,2011,9,9,0,5.9
1763,1762,0.0,0.0,0.0,0.0,The Majestic,72000000.0,Other,USA,Other,Drama,PG,6.9,Other,47261,Other,en,11.2,37317558,152.0,2001,12,21,0,6.0
1764,1763,0.0,0.0,0.0,0.0,A Christmas Carol,200000000.0,Walt Disney Pictures,USA,Robert Zemeckis,Animation,PG,6.8,Other,81914,Other,en,39.7,325233863,96.0,2009,11,6,0,6.0
1765,1764,0.0,0.0,0.0,0.0,Stolen,35000000.0,Other,USA,Other,Action,R,5.5,Nicolas Cage,39477,Other,en,16.8,2106557,96.0,2013,4,5,0,6.5
1766,1765,0.0,0.0,0.0,0.0,Summer of Sam,22000000.0,Other,USA,Spike Lee,Crime,R,6.6,Other,32566,Other,en,3.7,0,142.0,1999,7,2,0,6.4
1767,1766,0.0,0.0,0.0,0.0,We Are Marshall,65000000.0,Warner Bros.,USA,Other,Drama,PG,7.1,Other,50301,Other,en,8.6,43545364,127.5,2006,12,22,0,6.4
