budget_ds-movies,company,country,director,genre,gross,rating,score,star,votes,writer,original_language,popularity,revenue,title,Ave_runtime,release_year,release_month,recomendation,Netflix,Hulu,Prime Video,Disney+
4000000.0,Other,USA,Other,Fantasy,800000.0,R,4.9,Other,2546,Other,en,1.631993,0,The Barbarians,87.0,1987,3,0.0,0.0,0.0,0.0,0.0
55000000.0,Columbia Pictures Corporation,USA,Other,Action,14375181.0,PG-13,4.2,Other,9122,Other,en,2.410546,14375181,Ishtar,107.0,1987,5,0.0,0.0,0.0,0.0,0.0
100000.0,Other,USA,Other,Comedy,5228617.0,R,7.0,Other,3028,Other,en,2.353483,0,Hollywood Shuffle,78.0,1987,3,2.0,0.0,0.0,1.0,0.0
350000.0,Other,USA,Other,Action,4000000.0,R,4.8,Other,6614,Other,en,5.061107,0,American Ninja 2: The Confrontation,90.0,1987,5,0.0,0.0,0.0,0.0,0.0
10000000.0,Other,USA,Other,Action,3060858.0,R,5.6,Other,1974,Other,en,1.610132,0,Malone,92.0,1987,5,1.0,0.0,0.0,0.0,0.0
35000000.0,Other,USA,Other,Comedy,4215859.0,PG-13,5.7,Other,3415,Other,en,18.262017,51680201,Hot Pursuit,90.0,1987,5,1.0,0.0,0.0,0.0,0.0
35000000.0,Metro Goldwyn Mayer,USA,Other,Action,34507079.0,PG-13,5.1,Other,41078,Other,en,18.262017,51680201,Hot Pursuit,87.0,2015,5,1.0,0.0,0.0,0.0,0.0
1300000.0,Other,USA,Renny Harlin,Crime,354704.0,R,5.9,Other,3046,Other,en,7.605291,354704,Prison,102.0,1987,12,1.0,0.0,0.0,0.0,0.0
7500000.0,Other,USA,Other,Drama,796368.0,R,6.3,Other,1756,Other,en,7.101197,0,Rampage,91.0,1992,10,1.0,0.0,0.0,0.0,0.0
15000000.0,Other,USA,Other,Drama,316199.0,R,5.8,Other,1295,Other,en,13.568302,8138788,Promised Land,104.0,1988,1,1.0,1.0,0.0,0.0,0.0
15000000.0,Other,USA,Other,Drama,7597898.0,R,6.6,Matt Damon,32491,Other,en,13.568302,8138788,Promised Land,103.0,2013,1,1.0,1.0,0.0,0.0,0.0
1100000.0,Other,USA,Other,Action,1355728.0,R,6.0,Other,1504,Other,en,1.220072,1400000,From a Whisper to a Scream,99.0,1987,9,1.0,0.0,0.0,0.0,0.0
15000000.0,Other,USA,Tim Burton,Comedy,73707461.0,PG,7.5,Other,208441,Other,en,58.553213,73326666,Beetlejuice,92.0,1988,3,2.0,0.0,0.0,0.0,0.0
9000000.0,Other,USA,Other,Horror,33244684.0,R,6.6,Other,68263,Other,en,27.600842999999998,44196684,Child's Play,87.0,1988,11,1.0,1.0,0.0,1.0,0.0
28000000.0,Twentieth Century Fox Film Corporation,USA,Other,Action,83008852.0,R,8.2,Bruce Willis,650948,Other,en,66.169628,140767956,Die Hard,131.0,1988,7,2.0,0.0,0.0,0.0,0.0
25000000.0,Other,USA,Barry Levinson,Drama,172825435.0,R,8.0,Other,410182,Other,en,49.510658,412800000,Rain Man,133.0,1988,12,2.0,0.0,0.0,0.0,0.0
4000000.0,Other,USA,Other,Action,13008928.0,R,7.3,Other,83929,Other,en,29.852608,13008928,They Live,94.0,1988,11,2.0,0.0,0.0,0.0,0.0
8000000.0,Other,Japan,Other,Animation,553171.0,R,8.1,Other,119520,Other,Other,39.338097,553171,Akira,124.0,1988,7,2.0,0.0,1.0,0.0,0.0
18000000.0,Other,USA,Other,Comedy,114968774.0,PG,7.3,Tom Hanks,165250,Other,en,20.716023,151668774,Big,104.0,1988,6,2.0,0.0,0.0,0.0,0.0
30000000.0,Universal Pictures,USA,Other,Action,38413606.0,R,7.6,Robert De Niro,58556,Other,en,12.821328999999999,38413606,Midnight Run,126.0,1988,7,2.0,0.0,0.0,0.0,0.0
1100000.0,Other,USA,Other,Action,11806119.0,R,6.8,Other,63731,Other,en,17.49699,11806119,Bloodsport,92.0,1988,4,1.0,1.0,0.0,0.0,0.0
14000000.0,Paramount Pictures,Australia,Other,Action,109305000.0,PG,5.5,Other,47041,Other,en,15.474831,239606210,Crocodile Dundee II,109.0,1988,5,1.0,0.0,0.0,0.0,0.0
12500000.0,Universal Pictures,USA,Other,Animation,48092846.0,G,7.4,Other,67263,Other,en,28.670192999999998,84460846,The Land Before Time,69.0,1988,11,2.0,0.0,0.0,0.0,0.0
15000000.0,Universal Pictures,USA,Other,Comedy,111936400.0,PG,6.0,Other,94854,Other,en,17.638285999999997,216614388,Twins,107.0,1988,12,1.0,0.0,0.0,0.0,0.0
14000000.0,Other,USA,Other,Drama,34700000.0,R,7.7,Other,56080,Other,en,14.480628,34670720,Dangerous Liaisons,119.0,1989,2,2.0,0.0,0.0,1.0,0.0
5000000.0,Other,USA,Other,Horror,17768757.0,R,5.9,Other,32707,Other,en,9.302349000000001,17768757,Halloween 4: The Return of Michael Myers,88.0,1988,10,1.0,0.0,0.0,0.0,0.0
13000000.0,Other,USA,Other,Action,45661556.0,R,6.8,Other,46026,Other,en,9.499325,44726644,Young Guns,107.0,1988,8,1.0,0.0,0.0,0.0,0.0
6000000.0,Other,USA,Other,Comedy,12793213.0,R,6.2,Other,20194,Other,en,6.379933,0,Mystic Pizza,104.0,1988,10,1.0,0.0,0.0,0.0,0.0
63000000.0,Other,USA,Other,Action,53715611.0,R,5.7,Other,100245,Other,en,31.294717,189015611,Rambo III,102.0,1988,5,1.0,0.0,0.0,0.0,0.0
7000000.0,Universal Pictures,Canada,Martin Scorsese,Drama,7630564.0,R,7.6,Other,42983,Other,en,14.672151000000001,8373585,The Last Temptation of Christ,164.0,2004,3,2.0,0.0,0.0,0.0,0.0
2000000.0,New Line Cinema,USA,Other,Comedy,6671108.0,PG,7.0,Other,17878,Other,en,31.160542,90450008,Hairspray,104.5,1988,2,2.0,0.0,0.0,0.0,0.0
